Date,Population (P),Cumulative_cases,Cumulative_deaths
4/28/2021 0:00,10257557,1201651,24271
4/29/2021 0:00,10257557,1201953,24277
4/30/2021 0:00,10257557,1202231,24282
5/1/2021 0:00,10257557,1202441,24287
5/2/2021 0:00,10257557,1202611,24292
5/3/2021 0:00,10257557,1202963,24297
5/4/2021 0:00,10257557,1203231,24302
5/5/2021 0:00,10257557,1203521,24310
5/6/2021 0:00,10257557,1203788,24316
5/7/2021 0:00,10257557,1204030,24321
5/8/2021 0:00,10257557,1204210,24330
5/9/2021 0:00,10257557,1204364,24339
5/10/2021 0:00,10257557,1204622,24342
5/11/2021 0:00,10257557,1204889,24352
5/12/2021 0:00,10257557,1205126,24361
5/13/2021 0:00,10257557,1205311,24368
5/14/2021 0:00,10257557,1205500,24373
5/15/2021 0:00,10257557,1205635,24376
5/16/2021 0:00,10257557,1205758,24378
5/17/2021 0:00,10257557,1205983,24382
5/18/2021 0:00,10257557,1206164,24384
5/19/2021 0:00,10257557,1206344,24392
5/20/2021 0:00,10257557,1206541,24399
5/21/2021 0:00,10257557,1206698,24401
5/22/2021 0:00,10257557,1206816,24405
5/23/2021 0:00,10257557,1206925,24411
5/24/2021 0:00,10257557,1207115,24416
5/25/2021 0:00,10257557,1207287,24419
5/26/2021 0:00,10257557,1207474,24421
5/27/2021 0:00,10257557,1207640,24430
5/28/2021 0:00,10257557,1207810,24433
5/29/2021 0:00,10257557,1207921,24438
5/30/2021 0:00,10257557,1208043,24442
5/31/2021 0:00,10257557,1208158,24446
6/1/2021 0:00,10257557,1208401,24446
6/2/2021 0:00,10257557,1208638,24450
6/3/2021 0:00,10257557,1208842,24453
6/4/2021 0:00,10257557,1209013,24455
6/5/2021 0:00,10257557,1209134,24458
6/6/2021 0:00,10257557,1209263,24464
6/7/2021 0:00,10257557,1209462,24465
6/8/2021 0:00,10257557,1209686,24466
6/9/2021 0:00,10257557,1209884,24467
6/10/2021 0:00,10257557,1210072,24473
6/11/2021 0:00,10257557,1210238,24478
6/12/2021 0:00,10257557,1210388,24478
6/13/2021 0:00,10257557,1210525,24481
6/14/2021 0:00,10257557,1210793,24484
6/15/2021 0:00,10257557,1211035,24484
6/16/2021 0:00,10257557,1211260,24488
6/17/2021 0:00,10257557,1211484,24489
6/18/2021 0:00,10257557,1211699,24493
6/19/2021 0:00,10257557,1211866,24494
6/20/2021 0:00,10257557,1212070,24497
6/21/2021 0:00,10257557,1212375,24499
6/22/2021 0:00,10257557,1212669,24500
6/23/2021 0:00,10257557,1212985,24502
6/24/2021 0:00,10257557,1213322,24506
6/25/2021 0:00,10257557,1213647,24508
6/26/2021 0:00,10257557,1213931,24511
6/27/2021 0:00,10257557,1214235,24513
6/28/2021 0:00,10257557,1214787,24519
6/29/2021 0:00,10257557,1215306,24523
6/30/2021 0:00,10257557,1215920,24530
7/1/2021 0:00,10257557,1216594,24533
7/2/2021 0:00,10257557,1217198,24537
7/3/2021 0:00,10257557,1217672,24543
7/4/2021 0:00,10257557,1218101,24547
7/5/2021 0:00,10257557,1218965,24551
7/6/2021 0:00,10257557,1220159,24556
7/7/2021 0:00,10257557,1221378,24561
7/8/2021 0:00,10257557,1222559,24564
7/9/2021 0:00,10257557,1223773,24571
7/10/2021 0:00,10257557,1224777,24577
7/11/2021 0:00,10257557,1225805,24581
